State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,789376,7147201,3966287,11515962,7747914,7978078
Texas,27469114,38,2766798,9611381,1372293,6266190,3882624,3569828
Florida,20271272,29,408322,3658294,1195525,8131516,3468429,3409186
New York,19795791,29,397436,3588639,1974169,5968502,3958012,3909033
Illinois,12859995,20,260306,2288452,1265004,3882978,2612632,2550623
Pennsylvania,12802503,20,1288982,4477247,639575,2956329,1789577,1650793
Ohio,11613423,18,1183248,3989693,576506,2714237,1609909,1539830
Georgia,10214860,16,1026874,3579236,504058,2339336,1411940,1353416
North Carolina,10042802,15,1000748,3476786,510355,2342898,1403139,1308876
Michigan,9922576,16,196020,1806211,991152,2916679,2015391,1997123
New Jersey,8958013,14,885775,3223603,440960,2023384,1239400,1144891
Virginia,8382993,13,851792,2968589,419102,1913961,1159889,1069660
Washington,7170351,12,143172,1305611,731244,2107541,1420885,1461898
Arizona,6828065,11,138095,1222117,408753,2737393,1164204,1157503
Massachusetts,6794422,11,135062,1224648,684796,1998936,1372619,1378361
Indiana,6619680,11,131624,1170802,674897,1976090,1348433,1317834
Tennessee,6600299,11,130890,1194862,401244,2658043,1109864,1105396
Missouri,6083672,10,123157,1106766,362959,2398426,1040030,1052334
Maryland,6006401,10,603025,2107098,305309,1362720,849365,778884
Wisconsin,5771337,10,574243,2013585,286069,1340288,808166,748986
Minnesota,5489594,10,556572,1946937,277181,1247821,753701,707382
Colorado,5456574,9,109970,996878,553965,1613032,1085867,1096862
South Carolina,4896146,9,498853,1700520,247497,1119495,697942,631839
Alabama,4858979,9,98415,866734,295593,1951802,812068,834367
Louisiana,4670724,8,93926,856792,459093,1403276,932611,925026
Kentucky,4425092,8,451327,1536348,217802,1030673,608950,579992
Oregon,4028977,7,80513,730795,242116,1608869,672272,694412
Oklahoma,3911338,7,79588,700976,230801,1590731,655485,653757
Connecticut,3590886,7,73008,657914,359013,1045045,724283,731623
Puerto Rico,3474182,1,350781,1214638,173900,797074,494485,443304
Iowa,3123899,6,306921,1103063,156571,713598,437392,406354
Utah,2995919,6,60227,532568,179620,1202189,506068,515247
Mississippi,2992333,6,298571,1056095,150571,677118,422529,387449
Arkansas,2978204,6,59012,538008,181902,1200183,498539,500560
Kansas,2911641,6,57282,516793,286043,890842,584542,576139
Nevada,2890845,6,58704,512266,294696,876532,576800,571847
New Mexico,2085109,5,212162,715646,104746,487069,296817,268669
Nebraska,1896190,5,192061,666432,94628,434416,265184,243469
West Virginia,1844128,5,36878,328404,185610,559809,371317,362110
Idaho,1654930,4,167346,573368,83435,381998,234762,214021
Hawaii,1431603,4,28732,259768,144696,423066,284766,290575
New Hampshire,1330608,4,26536,240565,135123,396411,265287,266686
Maine,1329328,4,132244,469329,67063,303212,184334,173146
Rhode Island,1056298,4,105128,363771,52207,246985,149408,138799
Montana,1032949,3,104477,361138,50918,238267,145532,132617
Delaware,945934,3,93661,333343,46459,216621,134168,121682
South Dakota,858469,3,85934,306507,43631,193585,119227,109585
North Dakota,756927,3,15430,133612,46072,305634,126631,129548
Alaska,738432,3,14693,135228,74221,216309,148295,149686
District of Columbia,672228,1,13709,123135,66112,196289,135954,137029
Vermont,626042,3,62977,223091,31923,141922,86214,79915
Wyoming,586107,3,11886,105512,58157,176539,117383,116630
