State,Population,Seats,TCB,TBC,CTB,CBT,BTC,BCT
California,39144818,55,4062427,7435634,8584224,5747990,3580505,9734036
Texas,27469114,38,6414604,6980117,1252013,7442503,324348,5055526
Florida,20271272,29,264939,110064,5831623,1694124,4154459,8216060
New York,19795791,29,4553890,3258328,3689709,2959360,2477996,2856505
Illinois,12859995,20,2087017,3550737,1602881,655823,1132242,3831292
Pennsylvania,12802503,20,759770,5829868,1084933,327389,2440602,2359939
Ohio,11613423,18,1516199,2420411,1820711,2362369,1959672,1534059
Georgia,10214860,16,1090506,2487511,1442865,2074009,2145768,974197
North Carolina,10042802,15,2130640,2054576,1092714,1779310,956276,2029284
Michigan,9922576,16,1021332,1319981,1730795,1748808,2399788,1701870
New Jersey,8958013,14,1294056,134793,2184738,1255933,2019034,2069455
Virginia,8382993,13,1842106,1115455,1402382,920044,820270,2282733
Washington,7170351,12,777945,546036,2233795,1465912,920827,1225833
Arizona,6828065,11,2051315,626232,1177525,2016645,786711,169634
Massachusetts,6794422,11,1082111,1552968,755010,563392,1446053,1394886
Indiana,6619680,11,807266,437391,1208145,1622641,1559527,984707
Tennessee,6600299,11,1530804,1587795,380470,1188707,442008,1470512
Missouri,6083672,10,1096007,971994,1232658,262754,1760463,759793
Maryland,6006401,10,2199699,1558499,1096157,450833,13083,688126
Wisconsin,5771337,10,996819,921340,900944,403225,1264576,1284431
Minnesota,5489594,10,127072,1768834,82430,1137737,920592,1452927
Colorado,5456574,9,1070816,520002,846853,904629,1285207,829064
South Carolina,4896146,9,262594,689101,400132,1529884,1245956,768476
Alabama,4858979,9,1140122,52692,1209094,760580,533280,1163207
Louisiana,4670724,8,222118,827843,1777874,351199,737748,753939
Kentucky,4425092,8,290197,1207707,951985,522227,472556,980417
Oregon,4028977,7,698891,1003130,76994,837698,722164,690097
Oklahoma,3911338,7,749253,689322,503203,41907,1090000,837650
Connecticut,3590886,7,450342,671655,297888,981440,522546,667013
Puerto Rico,3474182,1,990071,634249,669662,206782,662251,311164
Iowa,3123899,6,399589,333344,1184230,181289,550906,474538
Utah,2995919,6,159107,394622,951513,417227,335606,737840
Mississippi,2992333,6,362935,1205688,305586,188701,882358,47062
Arkansas,2978204,6,519771,245035,347404,904065,614400,347526
Kansas,2911641,6,843801,368766,795411,8156,311168,584335
Nevada,2890845,6,265033,353788,113935,830600,804104,523383
New Mexico,2085109,5,464739,121968,477930,787309,219224,13937
Nebraska,1896190,5,251754,313322,50874,365119,447349,467769
West Virginia,1844128,5,169285,558790,160126,284943,502197,168784
Idaho,1654930,4,271318,294427,268291,52765,356179,411946
Hawaii,1431603,4,279776,315435,229563,343822,252114,10890
New Hampshire,1330608,4,299483,319798,418037,17307,60494,215486
Maine,1329328,4,55012,134334,76893,470667,462882,129537
Rhode Island,1056298,4,78656,329312,56028,227913,134558,229827
Montana,1032949,3,19986,118070,279123,219925,140559,255283
Delaware,945934,3,85175,205532,156535,152458,142016,204215
South Dakota,858469,3,203458,119015,141680,54150,167827,172337
North Dakota,756927,3,78719,80811,204000,117220,29262,246912
Alaska,738432,3,303988,150937,159773,1267,34936,87527
District of Columbia,672228,1,84858,24361,11485,220083,100730,230707
Vermont,626042,3,101900,151084,44983,136741,56405,134925
Wyoming,586107,3,190805,65411,171993,125388,2539,29968
